Time(s),Amplitude(mV)
5.967,-0.022659129
5.968,-0.021606307
5.969,-0.021240304
5.97,-0.021194423
5.971,-0.021194423
5.972,-0.021331717
5.973,-0.021514893
5.974,-0.021225011
5.975,-0.021362305
5.976,-0.021331716
5.977,-0.021087718
5.978,-0.021362305
5.979,-0.021041834
5.98,-0.021057129
5.981,-0.021225012
5.982,-0.021606299
5.983,-0.018905603
5.984,-0.019012303
5.985,-0.018631019
5.986,-0.018905602
5.987,-0.018524319
5.988,-0.018692204
5.989,-0.020935134
5.99,-0.021255607
5.991,-0.022461013
5.992,-0.023803711
5.993,-0.023956299
5.994,-0.023773117
5.995,-0.023941002
5.996,-0.023651123
5.997,-0.02264381
5.998,-0.021468999
5.999,-0.021194419
6,-0.021240313
6.001,-0.021057129
6.002,-0.021484296
6.003,-0.021209717
6.004,-0.021225015
6.005,-0.021392902
6.006,-0.021225016
6.007,-0.021087727
6.008,-0.021285809
6.009,-0.018798909
6.01,-0.018493734
6.011,-0.018875
6.012,-0.019912925
6.013,-0.021057129
6.014,-0.021057129
6.015,-0.019180174
6.016,-0.018768311
6.017,-0.018768311
6.018,-0.018890297
6.019,-0.018615723
6.02,-0.019042885
6.021,-0.018737708
6.022,-0.018890296
6.023,-0.018646325
6.024,-0.018859693
6.025,-0.018463135
6.026,-0.017623687
6.027,-0.016601476
6.028,-0.01646419
6.029,-0.016342206
6.03,-0.017303641
6.031,-0.018768311
6.032,-0.018631025
6.033,-0.018615723
6.034,-0.018783613
6.035,-0.019073486
6.036,-0.018890292
6.037,-0.017638982
6.038,-0.016738758
6.039,-0.016479492
6.04,-0.016220228
6.041,-0.01606764
6.042,-0.016464188
6.043,-0.016601472
6.044,-0.016464188
6.045,-0.016326904
6.046,-0.016037033
6.047,-0.016448883
6.048,-0.016204926
6.049,-0.016326904
6.05,-0.016326904
6.051,-0.016479492
6.052,-0.01634221
6.053,-0.016204928
6.054,-0.016464186
6.055,-0.016174316
6.056,-0.016464186
6.057,-0.016601468
6.058,-0.016342211
6.059,-0.015029669
6.06,-0.014144754
6.061,-0.013717603
6.062,-0.013885498
6.063,-0.013748217
6.064,-0.014038086
6.065,-0.013763525
6.066,-0.013916113
6.067,-0.013839575
6.068,-0.01200852
6.069,-0.011276196
6.07,-0.011032252
6.071,-0.011154224
6.072,-0.011154224
6.073,-0.011566063
6.074,-0.01171865
6.075,-0.011444092
6.076,-0.011306813
6.077,-0.011428783
6.078,-0.011306813
6.079,-0.011413473
6.08,-0.010299429
6.081,-0.009002686
6.082,-0.00942983
6.083,-0.009307861
6.084,-0.009002686
6.085,-0.008865408
6.086,-0.008880718
6.087,-0.008850098
6.088,-0.008880719
6.089,-0.008728131
6.09,-0.009139962
6.091,-0.008590855
6.092,-0.008987374
6.093,-0.009307861
6.094,-0.009033309
6.095,-0.011306816
6.096,-0.011306816
6.097,-0.011306816
6.098,-0.011459404
6.099,-0.011581367
6.1,-0.011611992
6.101,-0.011459404
6.102,-0.011566054
6.103,-0.011306817
6.104,-0.011611993
6.105,-0.011413466
6.106,-0.011733954
6.107,-0.01159668
6.108,-0.011306817
6.109,-0.011474719
6.11,-0.011322132
6.111,-0.01171864
6.112,-0.011428778
6.113,-0.01147472
6.114,-0.011611994
6.115,-0.011306818
6.116,-0.011596121
6.117,-0.002822596
6.118,-0.001403921
6.119,-0.001556509
6.12,-0.001403922
6.121,-0.001434553
6.122,-0.00155651
6.123,-0.001525879
6.124,-0.001388607
6.125,-0.001403923
6.126,-0.002960434
6.127,-0.003723374
6.128,-0.004241828
6.129,-0.004119873
6.13,-0.004104556
6.131,-0.004150507
6.132,-0.004257144
6.133,-0.004257144
6.134,-0.003845332
6.135,-0.004119873
6.136,-0.00399792
6.137,-0.003982603
6.138,-0.003997921
6.139,-0.004348459
6.14,-0.001815737
6.141,-0.001541197
6.142,-0.001525879
6.143,-0.001495242
6.144,0.000778258
6.145,0.001159428
6.146,0.000595033
6.147,0.000656309
6.148,0.00064099
6.149,0.000610352
6.15,0.00074762
6.151,0.000930847
6.152,0.00289917
6.153,0.003067078
6.154,0.003219666
6.155,0.003219666
6.156,0.003341613
6.157,0.003189025
6.158,0.003204346
6.159,0.002074947
6.16,0.000793581
6.161,0.001068115
6.162,0.000732297
6.163,0.001022151
6.164,0.000778261
6.165,0.000900206
6.166,0.000778261
6.167,0.000915527
6.168,0.000915527
6.169,0.001755078
6.17,0.002929815
6.171,0.003310966
6.172,0.002929815
6.173,0.003356934
6.174,0.003082404
6.175,0.003173699
6.176,0.003173699
6.177,0.003189022
6.178,0.003051758
6.179,0.00334161
6.18,0.003494198
6.181,0.003356934
6.182,0.003189022
6.183,0.003189021
6.184,0.003113056
6.185,0.005371225
6.186,0.005661077
6.187,0.005508489
6.188,0.005371226
6.189,0.004516336
6.19,0.002914495
6.191,0.003051758
6.192,0.003204346
6.193,0.00289917
6.194,0.003494196
6.195,0.00318902
6.196,0.003204346
6.197,0.003341607
6.198,0.003310954
6.199,0.003067084
6.2,0.003067085
6.201,0.004364422
6.202,0.005767686
6.203,0.005783013
6.204,0.005783013
6.205,0.005752358
6.206,0.003097741
6.207,0.003189018
6.208,0.003341606
6.209,0.00317369
6.21,0.003204346
6.211,0.003219674
6.212,0.003219674
6.213,0.003051758
6.214,0.003204346
6.215,0.003235003
6.216,0.003219675
6.217,0.003326275
6.218,0.003189016
6.219,0.003189016
6.22,0.003372263
6.221,0.003356934
6.222,0.003189016
6.223,0.003189016
6.224,0.001037455
6.225,0.000915527
6.226,0.000641012
6.227,-0.000381829
6.228,-0.001571871
6.229,-0.001678467
6.23,-0.00154121
6.231,-0.001693798
6.232,-0.001571873
6.233,-0.001525879
6.234,-0.001678467
6.235,-0.001541211
6.236,-0.001952979
6.237,-0.000396436
6.238,0.001006787
6.239,-0.001251368
6.24,-0.001541211
6.241,-0.001693799
6.242,-0.001571877
6.243,-0.001815722
6.244,-0.001541212
6.245,-0.003708109
6.246,-0.004135206
6.247,-0.00410454
6.248,-0.003799364
6.249,-0.004135207
6.25,-0.004073871
6.251,-0.001968309
6.252,-0.00161713
6.253,0.000366513
6.254,0.002029646
6.255,0.004227215
6.256,0.006790541
6.257,0.009231948
6.258,0.011856613
6.259,0.015563965
6.26,0.017639619
6.261,0.019913103
6.262,0.022842177
6.263,0.02388039
6.264,0.025604094
6.265,0.026459049
6.266,0.027633744
6.267,0.027496493
6.268,0.027481157
6.269,0.027740323
6.27,0.027496494
6.271,0.027740322
6.272,0.027572397
6.273,0.02532959
6.274,0.025207677
6.275,0.025451503
6.276,0.025252902
6.277,0.023025434
6.278,0.022903522
6.279,0.022979419
6.28,0.020721277
6.281,0.020446777
6.282,0.019012132
6.283,0.017990032
6.284,0.01689124
6.285,0.015685875
6.286,0.014022747
6.287,0.012817383
6.288,0.011566001
6.289,0.010391316
6.29,0.009673587
6.291,0.008025799
6.292,0.006210084
6.293,0.00576766
6.294,0.003509521
6.295,0.003082439
6.296,0.003356934
6.297,0.003067098
6.298,0.002196774
6.299,0.000915527
6.3,0.000884845
6.301,0.000519129
6.302,0.000579669
6.303,0.000732256
6.304,-0.001388633
6.305,-0.001587246
6.306,-0.003799355
6.307,-0.004165899
6.308,-0.006149542
6.309,-0.006256104
6.31,-0.006591964
6.311,-0.009002686
6.312,-0.009002686
6.313,-0.00913993
6.314,-0.008865441
6.315,-0.008850098
6.316,-0.009155273
6.317,-0.009155273
6.318,-0.007720608
6.319,-0.006698523
6.32,-0.006439379
6.321,-0.005126612
6.322,-0.004272461
6.323,-0.00407384
6.324,-0.001556568
6.325,-0.00140398
6.326,-0.001693812
6.327,-0.001678467
6.328,-0.000289831
6.329,0.000641042
6.33,-0.000366557
6.331,-0.00155657
6.332,-0.001678467
6.333,-0.001724504
6.334,-0.001815709
6.335,-0.001815709
6.336,-0.001663121
6.337,-0.001403984
6.338,-0.001678467
6.339,-0.001647773
6.34,0.000625698
6.341,0.001052768
6.342,0.000884833
6.343,0.000762939
6.344,0.001755204
6.345,0.003356934
6.346,0.003219693
6.347,0.003067106
6.348,0.003219694
6.349,0.003235042
6.35,0.003356934
6.351,0.003356934
6.352,0.003036409
6.353,0.002670738
6.354,0.003219695
6.355,0.004349206
6.356,0.005645752
6.357,0.00590488
6.358,0.005264735
6.359,0.005691801
6.36,0.005645752
6.361,0.005493164
6.362,0.005630402
6.363,0.005615052
6.364,0.005386627
6.365,0.005767639
6.366,0.005904876
6.367,0.005630401
6.368,0.005661103
6.369,0.005767638
6.37,0.005782989
6.371,0.005630401
6.372,0.004638116
6.373,0.003310879
6.374,0.001006708
6.375,-0.001251407
6.376,-0.004990276
6.377,-0.01004103
6.378,-0.015076431
6.379,-0.021851709
6.38,-0.030320808
6.381,-0.041551843
6.382,-0.055773225
6.383,-0.070574254
6.384,-0.08754222
6.385,-0.10573089
6.386,-0.123385029
6.387,-0.138796409
6.388,-0.153582085
6.389,-0.164872642
6.39,-0.172577856
6.391,-0.176315784
6.392,-0.17759695
6.393,-0.175246714
6.394,-0.169508834
6.395,-0.160093488
6.396,-0.146496848
6.397,-0.129650756
6.398,-0.106823024
6.399,-0.081355231
6.4,-0.050928813
6.401,-0.019113746
6.402,0.018225197
6.403,0.058295369
6.404,0.102317472
6.405,0.149422046
6.406,0.200569713
6.407,0.251839257
6.408,0.303230675
6.409,0.352470505
6.41,0.401298641
6.411,0.450279366
6.412,0.497856085
6.413,0.544608434
6.414,0.58983589
6.415,0.634971201
6.416,0.679038397
6.417,0.722724617
6.418,0.765631549
6.419,0.807471357
6.42,0.849051069
6.421,0.887991707
6.422,0.926122332
6.423,0.955799186
6.424,0.975893715
6.425,0.984970193
6.426,0.979444303
6.427,0.961222894
6.428,0.928582425
6.429,0.885169649
6.43,0.832861701
6.431,0.774663252
6.432,0.711430411
6.433,0.647831966
6.434,0.584477256
6.435,0.521901861
6.436,0.463049004
6.437,0.405675944
6.438,0.349569669
6.439,0.295187945
6.44,0.244086351
6.441,0.193793781
6.442,0.148262159
6.443,0.104301474
6.444,0.06128807
6.445,0.022546098
6.446,-0.013144115
6.447,-0.047536814
6.448,-0.078679079
6.449,-0.106510495
6.45,-0.131320876
6.451,-0.152163971
6.452,-0.171817088
6.453,-0.188036455
6.454,-0.200517939
6.455,-0.21141209
6.456,-0.219880197
6.457,-0.225281181
6.458,-0.227997036
6.459,-0.229171648
6.46,-0.227904852
6.461,-0.225600669
6.462,-0.222884815
6.463,-0.220580632
6.464,-0.217940543
6.465,-0.214629703
6.466,-0.212203661
6.467,-0.209762254
6.468,-0.207214355
6.469,-0.205947556
6.47,-0.204574265
6.471,-0.202468765
6.472,-0.202300811
6.473,-0.200164581
6.474,-0.199874771
6.475,-0.199584961
6.476,-0.197632051
6.477,-0.197326876
6.478,-0.196044706
6.479,-0.19483937
6.48,-0.193572566
6.481,-0.192672405
6.482,-0.191161893
6.483,-0.189850071
6.484,-0.189773233
6.485,-0.18751515
6.486,-0.18737793
6.487,-0.186385563
6.488,-0.184951891
6.489,-0.183944155
6.49,-0.182586232
6.491,-0.180465369
6.492,-0.180022974
6.493,-0.1780547
6.494,-0.177840636
6.495,-0.175491443
6.496,-0.174178525
6.497,-0.173003929
6.498,-0.171752487
6.499,-0.170531783
6.5,-0.168136486
6.501,-0.166732455
6.502,-0.165405273
6.503,-0.164443635
6.504,-0.162795909
6.505,-0.160934113
6.506,-0.159392863
6.507,-0.158096425
6.508,-0.155822978
6.509,-0.154678008
6.51,-0.153320088
6.511,-0.151183857
6.512,-0.149733708
6.513,-0.147292301
6.514,-0.14584328
6.515,-0.143828893
6.516,-0.142455602
6.517,-0.140975839
6.518,-0.138824236
6.519,-0.136535417
6.52,-0.135100635
6.521,-0.134032519
6.522,-0.13240017
6.523,-0.131240959
6.524,-0.130507622
6.525,-0.128890647
6.526,-0.126632576
6.527,-0.125472218
6.528,-0.124007834
6.529,-0.121734389
6.53,-0.121856228
6.531,-0.119308356
6.532,-0.118972432
6.533,-0.116988789
6.534,-0.116714362
6.535,-0.115462909
6.536,-0.114104992
6.537,-0.113127964
6.538,-0.111572499
6.539,-0.110412131
6.54,-0.109115717
6.541,-0.10693336
6.542,-0.106093541
6.543,-0.104293237
6.544,-0.102050547
6.545,-0.09979248
6.546,-0.098235849
6.547,-0.097304945
6.548,-0.095000749
6.549,-0.094558362
6.55,-0.092696553
6.551,-0.092147709
6.552,-0.090880874
6.553,-0.089874268
6.554,-0.089737057
6.555,-0.088561298
6.556,-0.087570071
6.557,-0.085998058
6.558,-0.084929943
6.559,-0.082534671
6.56,-0.08204615
6.561,-0.080077886
6.562,-0.079788088
6.563,-0.077789067
6.564,-0.077590342
6.565,-0.07534766
6.566,-0.074859137
6.567,-0.072769044
6.568,-0.072738285
6.569,-0.070602054
6.57,-0.069213383
6.571,-0.067870851
6.572,-0.066771976
6.573,-0.065307617
6.574,-0.065429444
6.575,-0.06553589
6.576,-0.063003418
6.577,-0.062835449
6.578,-0.062835449
6.579,-0.060577393
6.58,-0.060500486
6.581,-0.058395018
6.582,-0.057921872
6.583,-0.055663817
6.584,-0.055327877
6.585,-0.053100586
6.586,-0.053298087
6.587,-0.051070797
6.588,-0.050506592
6.589,-0.048492184
6.59,-0.048293448
6.591,-0.04606616
6.592,-0.044265871
6.593,-0.043456783
6.594,-0.041930903
6.595,-0.040847404
6.596,-0.040588379
6.597,-0.038711173
6.598,-0.038421381
6.599,-0.037032705
6.6,-0.035858154
6.601,-0.035736335
6.602,-0.035995358
6.603,-0.036010742
6.604,-0.035979973
6.605,-0.035583748
6.606,-0.036010742
6.607,-0.034697728
6.608,-0.033432133
6.609,-0.033385977
6.61,-0.03112793
6.611,-0.03094457
6.612,-0.028686523
6.613,-0.027541478
6.614,-0.026320774
6.615,-0.024947483
6.616,-0.023819097
6.617,-0.023742165
6.618,-0.021362305
6.619,-0.021209717
6.62,-0.020889154
6.621,-0.019179913
6.622,-0.018646497
6.623,-0.018615723
6.624,-0.016342292
6.625,-0.016433329
6.626,-0.016280741
6.627,-0.014022698
6.628,-0.013458511
6.629,-0.012634018
6.63,-0.011444092
6.631,-0.011413315
6.632,-0.009414283
6.633,-0.009261695
6.634,-0.00881932
6.635,-0.006698478
6.636,-0.006515111
6.637,-0.004272461
6.638,-0.003692889
6.639,-0.001815665
6.64,-0.001663077
6.641,-0.001236093
6.642,-0.001663077
6.643,-0.00054879
6.644,0.000762939
6.645,0.000824502
6.646,0.002655557
6.647,0.00309793
6.648,0.005371358
6.649,0.006943411
6.65,0.008239746
6.651,0.008117941
6.652,0.009964388
6.653,0.01083374
6.654,0.011673639
6.655,0.013107167
6.656,0.013153343
6.657,0.015548573
6.658,0.015472947
6.659,0.017715588
6.66,0.017914354
6.661,0.020156994
6.662,0.021576465
6.663,0.022949756
6.664,0.024933399
6.665,0.025223182
6.666,0.027481214
6.667,0.027801784
6.668,0.030044421
6.669,0.031158718
6.67,0.032653809
6.671,0.034652845
6.672,0.036499295
6.673,0.037430217
6.674,0.039551053
6.675,0.041855267
6.676,0.043213163
6.677,0.045700755
6.678,0.046738081
6.679,0.049179487
6.68,0.051361905
6.681,0.054077696
6.682,0.056366515
6.683,0.05867073
6.684,0.061401917
6.685,0.063903534
6.686,0.065185822
6.687,0.066437319
6.688,0.068786345
6.689,0.070205827
6.69,0.071304736
6.691,0.07356276
6.692,0.074142318
6.693,0.076019564
6.694,0.076034962
6.695,0.077560842
6.696,0.078887939
6.697,0.078628958
6.698,0.07861356
6.699,0.081192156
6.7,0.081101162
6.701,0.083221995
6.702,0.083755353
6.703,0.085785192
6.704,0.08595318
6.705,0.088500977
6.706,0.089783277
6.707,0.090926983
6.708,0.092224684
6.709,0.093368389
6.71,0.094528904
6.711,0.095825195
6.712,0.095840596
6.713,0.098266602
6.714,0.098129414
6.715,0.098251201
6.716,0.098266602
6.717,0.098525575
6.718,0.095977783
6.719,0.095993184
6.72,0.095840597
6.721,0.094542886
6.722,0.093673563
6.723,0.093322182
6.724,0.091247559
6.725,0.091079569
6.726,0.08862276
6.727,0.086349344
6.728,0.084655474
6.729,0.082305045
6.73,0.078963513
6.731,0.076643888
6.732,0.074080699
6.733,0.070403186
6.734,0.067762981
6.735,0.064193291
6.736,0.060668366
6.737,0.058043564
6.738,0.053176154
6.739,0.050429571
6.74,0.046004522
6.741,0.04322713
6.742,0.039076447
6.743,0.035049001
6.744,0.031615043
6.745,0.026854007
6.746,0.021727638
6.747,0.019102832
6.748,0.014388012
6.749,0.010650341
6.75,0.007154757
6.751,0.003737668
6.752,-0.000397611
6.753,-0.004013503
6.754,-0.007752644
6.755,-0.012757233
6.756,-0.017640047
6.757,-0.02209591
6.758,-0.024979674
6.759,-0.029572718
6.76,-0.033447562
6.761,-0.037186708
6.762,-0.040634601
6.763,-0.044221161
6.764,-0.047989636
6.765,-0.051788926
6.766,-0.054413737
6.767,-0.057724447
6.768,-0.060623617
6.769,-0.062622669
6.77,-0.065216663
6.771,-0.067505482
6.772,-0.069900663
6.773,-0.071609948
6.774,-0.072830651
6.775,-0.074829703
6.776,-0.077087704
6.777,-0.078918759
6.778,-0.079697108
6.779,-0.081375575
6.78,-0.082260283
6.781,-0.082565459
6.782,-0.084411924
6.783,-0.084823457
6.784,-0.084579923
6.785,-0.087143096
6.786,-0.087691805
6.787,-0.087311095
6.788,-0.088562621
6.789,-0.089889679
6.79,-0.089828033
6.791,-0.089843444
6.792,-0.089615327
6.793,-0.089599915
6.794,-0.08972168
6.795,-0.089569092
6.796,-0.089706267
6.797,-0.089996031
6.798,-0.088286738
6.799,-0.087432861
6.8,-0.087264861
6.801,-0.087280273
6.802,-0.086181332
6.803,-0.084717106
6.804,-0.084823454
6.805,-0.084838867
6.806,-0.084945214
6.807,-0.083556509
6.808,-0.082550049
6.809,-0.082366633
6.81,-0.082107699
6.811,-0.081283102
6.812,-0.07994064
6.813,-0.079956055
6.814,-0.078551934
6.815,-0.077530063
6.816,-0.077620991
6.817,-0.075256661
6.818,-0.073775462
6.819,-0.072601005
6.82,-0.071364886
6.821,-0.070205846
6.822,-0.069029819
6.823,-0.067749023
6.824,-0.066329484
6.825,-0.064911519
6.826,-0.064284174
6.827,-0.062850794
6.828,-0.062561035
6.829,-0.061431252
6.83,-0.060546558
6.831,-0.060424805
6.832,-0.060272217
6.833,-0.060256799
6.834,-0.058379491
6.835,-0.057678223
6.836,-0.057815393
6.837,-0.056563853
6.838,-0.055236816
6.839,-0.05560207
6.84,-0.053237755
6.841,-0.053100586
6.842,-0.053069748
6.843,-0.0516502
6.844,-0.050522011
6.845,-0.05065918
6.846,-0.050582083
6.847,-0.048629278
6.848,-0.048217773
6.849,-0.048492109
6.85,-0.045928955
6.851,-0.045592939
6.852,-0.045821013
6.853,-0.043609296
6.854,-0.04331954
6.855,-0.042037154
6.856,-0.040908976
6.857,-0.040740967
6.858,-0.039458579
6.859,-0.038314982
6.86,-0.038146973
6.861,-0.037017171
6.862,-0.035720988
6.863,-0.03599532
6.864,-0.034560341
6.865,-0.033279582
6.866,-0.033675657
6.867,-0.033569336
6.868,-0.03337048
6.869,-0.03140226
6.87,-0.031249672
6.871,-0.031265095
6.872,-0.0308536
6.873,-0.029586627
6.874,-0.028655677
6.875,-0.028808264
6.876,-0.028549359
6.877,-0.028624828
6.878,-0.026245117
6.879,-0.025802778
6.88,-0.026092529
6.881,-0.02597079
6.882,-0.026092529
6.883,-0.023788286
6.884,-0.02354481
6.885,-0.023894599
6.886,-0.023940874
6.887,-0.023651123
6.888,-0.023956299
6.889,-0.023940873
6.89,-0.023467684
6.891,-0.021453189
6.892,-0.018920898
6.893,-0.018768311
6.894,-0.01905806
6.895,-0.01905806
6.896,-0.018905472
6.897,-0.017607635
6.898,-0.016174316
6.899,-0.016311477
6.9,-0.016311477
6.901,-0.016326904
6.902,-0.016464065
6.903,-0.016174316
6.904,-0.016158889
6.905,-0.016311476
6.906,-0.016479492
6.907,-0.016464064
6.908,-0.016189745
6.909,-0.015502251
6.91,-0.014159817
6.911,-0.013580322
6.912,-0.013900927
6.913,-0.014038086
6.914,-0.01385464
6.915,-0.013900927
6.916,-0.01374834
6.917,-0.014022656
6.918,-0.013642041
6.919,-0.014038086
6.92,-0.013870068
6.921,-0.013900928
6.922,-0.013763771
6.923,-0.014007225
6.924,-0.01373291
6.925,-0.013686618
6.926,-0.01159668
6.927,-0.011291504
6.928,-0.011291504
6.929,-0.011474954
6.93,-0.011459523
6.931,-0.011444092
6.932,-0.011550384
6.933,-0.011413228
6.934,-0.011306936
6.935,-0.011581247
6.936,-0.011154348
6.937,-0.011276071
6.938,-0.011612112
6.939,-0.013595755
6.94,-0.013854632
6.941,-0.014038086
6.942,-0.014038086
6.943,-0.014022653
6.944,-0.014007219
6.945,-0.014022652
6.946,-0.013748344
6.947,-0.013748344
6.948,-0.013885498
6.949,-0.012618492
6.95,-0.011718399
6.951,-0.011702964
6.952,-0.011459526
6.953,-0.011444092
6.954,-0.011276069
6.955,-0.009124403
6.956,-0.00898725
6.957,-0.008865533
6.958,-0.008865533
6.959,-0.009108966
6.96,-0.01014798
6.961,-0.011322376
6.962,-0.011276068
6.963,-0.01130694
6.964,-0.011581243
6.965,-0.011368686
6.966,-0.01373291
6.967,-0.013885498
6.968,-0.013870061
6.969,-0.014038086
6.97,-0.014159799
6.971,-0.013885498
6.972,-0.013885498
6.973,-0.014022648
6.974,-0.014053524
6.975,-0.013748348
6.976,-0.01289278
6.977,-0.011444092
6.978,-0.011444092
6.979,-0.011702952
6.98,-0.01145953
6.981,-0.011672074
6.982,-0.009429571
6.983,-0.009124395
6.984,-0.008728388
6.985,-0.009155273
6.986,-0.008880977
6.987,-0.00942957
6.988,-0.009002686
6.989,-0.00871295
6.99,-0.008942738
6.991,-0.011154356
6.992,-0.011702946
6.993,-0.011672065
6.994,-0.011459532
6.995,-0.011276063
6.996,-0.011627562
6.997,-0.011444092
6.998,-0.011565797
6.999,-0.01142865
7,-0.011459533
7.001,-0.011092591
7.002,-0.00929242
7.003,-0.008896424
7.004,-0.00886554
7.005,-0.009002686
7.006,-0.009018128
7.007,-0.0078728
7.008,-0.006576722
7.009,-0.007980899
7.01,-0.009018129
7.011,-0.008728396
7.012,-0.00913983
7.013,-0.010269719
7.014,-0.011291504
7.015,-0.011169803
7.016,-0.011612124
7.017,-0.011291504
7.018,-0.011565791
7.019,-0.011322392
7.02,-0.011306948
7.021,-0.011169805
7.022,-0.01159668
7.023,-0.011581235
7.024,-0.011459537
7.025,-0.011397756
7.026,-0.009551256
7.027,-0.008880988
7.028,-0.009261525
7.029,-0.008865543
7.03,-0.007735645
7.031,-0.006408691
7.032,-0.006545833
7.033,-0.006592172
7.034,-0.006561279
7.035,-0.006682974
7.036,-0.006561279
7.037,-0.006682973
7.038,-0.006408691
7.039,-0.006561279
7.04,-0.006424139
7.041,-0.007965465
7.042,-0.009108931
7.043,-0.008880993
7.044,-0.008865546
7.045,-0.008896442
7.046,-0.008987237
7.047,-0.009124377
7.048,-0.008865546
7.049,-0.008865546
7.05,-0.008834649
7.051,-0.009155273
7.052,-0.008880996
7.053,-0.008850098
7.054,-0.007461357
7.055,-0.006576729
7.056,-0.006317902
7.057,-0.006820106
7.058,-0.006545829
7.059,-0.006682967
7.06,-0.006682967
7.061,-0.006530379
7.062,-0.00657673
7.063,-0.006424142
7.064,-0.00657673
7.065,-0.006302456
7.066,-0.006667514
7.067,-0.006636611
7.068,-0.004378695
7.069,-0.004073519
7.07,-0.004104421
7.071,-0.004287913
7.072,-0.004409597
7.073,-0.004058065
7.074,-0.002089874
7.075,-0.001541331
7.076,-0.001678467
7.077,-0.001525879
7.078,-0.001525879
7.079,-0.001494973
7.08,-0.001541332
7.081,-0.001632107
7.082,-0.001815601
7.083,-0.001784694
7.084,-0.001541332
7.085,-0.001525879
7.086,-0.001952735
7.087,-0.001678467
7.088,-0.001632104
7.089,-0.0014042
7.09,-0.0018156
7.091,-0.001419655
7.092,-0.001709376
7.093,-0.001556789
7.094,-0.000517621
7.095,0.000900072
7.096,0.000610352
7.097,0.000762939
7.098,0.000778395
7.099,0.000778395
7.1,0.000762939
7.101,0.000610352
7.102,0.000915527
7.103,0.000488676
7.104,0.001052659
7.105,0.000915527
7.106,0.000732026
7.107,0.000732026
7.108,0.000762939
7.109,0.000915527
7.11,0.001052658
7.111,0.000625809
7.112,0.001052658
7.113,0.002045474
7.114,0.003188888
7.115,0.003204346
7.116,0.003188888
7.117,0.003188887
7.118,0.003235263
7.119,0.003051758
7.12,0.003188887
7.121,0.003356934
7.122,0.003387852
7.123,0.005508623
7.124,0.006088056
7.125,0.005508624
7.126,0.005767421
7.127,0.005645752
7.128,0.005661212
7.129,0.005935468
7.13,0.005402417
7.131,0.005446783
7.132,0.003341473
7.133,0.003341473
7.134,0.003173424
7.135,0.001006272
7.136,0.000656735
7.137,0.001037193
7.138,0.000625813
7.139,0.000778401
7.14,0.000625813
7.141,0.000915527
7.142,0.000762939
7.143,0.000762939
7.144,0.001083577
7.145,0.001037191
7.146,0.00093099
7.147,0.00082479
7.148,0.002914633
7.149,0.003020832
7.15,0.003310544
7.151,0.003235272
7.152,0.003463131
7.153,0.003326007
7.154,0.00334147
7.155,0.003082685
7.156,0.003235274
7.157,0.005203452
7.158,0.005645752
7.159,0.005371505
7.16,0.005782875
7.161,0.005371505
7.162,0.005661217
7.163,0.005524094
7.164,0.005782875
7.165,0.005493164
7.166,0.005950928
7.167,0.005340576
7.168,0.005782874
7.169,0.005919996
7.17,0.005630286
7.171,0.005661218
7.172,0.005736475
7.173,0.003356934
7.174,0.003036291
7.175,0.003067224
7.176,0.003356934
7.177,0.003463121
7.178,0.003188879
7.179,0.003310532
7.18,0.003204346
7.181,0.003020823
7.182,0.003325998
7.183,0.003403337
7.184,0.005645752
7.185,0.005950928
7.186,0.005386981
7.187,0.005782871
7.188,0.005524101
7.189,0.005614815
7.19,0.005661221
7.191,0.005524102
7.192,0.005767402
7.193,0.005477695
7.194,0.003235284
7.195,0.005371515
7.196,0.005767401
7.197,0.005630282
7.198,0.005524104
7.199,0.005645752
7.2,0.006912866
7.201,0.007980981
7.202,0.008208805
7.203,0.008345922
7.204,0.008270688
7.205,0.008102629
7.206,0.008224275
7.207,0.008087158
7.208,0.008361391
7.209,0.008071687
7.21,0.00793457
7.211,0.00784387
7.212,0.009369749
7.213,0.010681152
7.214,0.01083374
7.215,0.010924439
7.216,0.010650207
7.217,0.01093991
7.218,0.01055951
7.219,0.010849213
7.22,0.010802794
7.221,0.010743045
7.222,0.012543154
7.223,0.012680268
7.224,0.012969971
7.225,0.011946127
7.226,0.010559512
7.227,0.010802792
7.228,0.010650204
7.229,0.01051309
7.23,0.010696627
7.231,0.010360502
7.232,0.010665678
7.233,0.009245961
7.234,0.007965521
7.235,0.008071683
7.236,0.008208795
7.237,0.008102634
7.238,0.008255222
7.239,0.008071682
7.24,0.008102634
7.241,0.007980999
7.242,0.006698391
7.243,0.00579834
7.244,0.005676705
7.245,0.005767386
7.246,0.007355172
7.247,0.007950047
7.248,0.008193315
7.249,0.008102635
7.25,0.008239746
7.251,0.008071681
7.252,0.00793457
7.253,0.008102636
7.254,0.00807168
7.255,0.008056202
7.256,0.008270703
7.257,0.010132714
7.258,0.010818262
7.259,0.010802783
7.26,0.010345019
7.261,0.008392334
7.262,0.008102637
7.263,0.008193308
7.264,0.008361375
7.265,0.008239746
7.266,0.008118118
7.267,0.006820016
7.268,0.005676712
7.269,0.005508644
7.27,0.005645752
7.271,0.005676713
7.272,0.005630271
7.273,0.005707675
7.274,0.007950051
7.275,0.008208784
7.276,0.007828426
7.277,0.008361371
7.278,0.008056195
7.279,0.008071677
7.28,0.009506894
7.281,0.010681152
7.282,0.01066567
7.283,0.01066567
7.284,0.01066567
